DUPLICATES,SEQUENTIAL,MAX_MEMORY,ENV_SHARED_CACHE,REPLICATED,ENV_IS_LOCKING,CACHE_MODE,TEMPORARY,JE_FILE_LEVEL,ENV_BACKGROUND_READ_LIMIT,LOCK_DEADLOCK_DETECT,TXN_SERIALIZABLE_ISOLATION,JE_DURABILITY,ADLER32_CHUNK_SIZE,CHECKPOINTER_BYTES_INTERVAL,LOCK_DEADLOCK_DETECT_DELAY,time
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.485
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.933
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18.338
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18.243
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.069
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26.888
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.091
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.455
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.683
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.007
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18.463
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18.421
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.533
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.659
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18.648
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.436
