configuration,pm,bf,error
"[]",0.10482391699999999,0.011635378,800.9068463439692
"[FEATUREOVERLOADED, FEATUREEMPTY, FEATUREWEIGHT, FEATURETWOTHIRDSFULL]",23.205115170000006,33.734929966,31.213388634903193
"[FEATUREWEIGHT, FEATURETWOTHIRDSFULL, FEATUREEXECUTIVEFLOOR]",20.698106311000004,35.538756151,41.75905813063299
"[FEATUREEMPTY, FEATURETWOTHIRDSFULL]",0.10747809899999998,10.605551871,98.98658645672282
"[FEATUREOVERLOADED, FEATURETWOTHIRDSFULL, FEATUREEXECUTIVEFLOOR]",2.6141854110000007,17.327562311999998,84.91313801717176
"[FEATUREOVERLOADED, FEATUREEMPTY]",2.616439411000001,13.107808602999999,80.03907830633739
"[FEATUREWEIGHT, FEATURETWOTHIRDSFULL]",20.693466379000004,20.652868005000002,0.19657499379830934
"[FEATUREOVERLOADED, FEATUREWEIGHT]",23.176177922000004,23.157963308,0.07865378210402774
"[FEATUREEMPTY, FEATUREWEIGHT]",20.674143839000006,31.246699899,33.83575255682713
"[FEATUREOVERLOADED, FEATUREWEIGHT, FEATUREEXECUTIVEFLOOR]",23.179065767000004,37.967667008,38.9505134405123
"[FEATUREEMPTY, FEATUREWEIGHT, FEATURETWOTHIRDSFULL, FEATUREEXECUTIVEFLOOR]",20.702913665000004,46.167671919,55.15712011356618
"[FEATUREOVERLOADED, FEATUREEMPTY, FEATURETWOTHIRDSFULL, FEATUREEXECUTIVEFLOOR]",2.618959468000001,28.117749035,90.6857427856689
"[FEATUREEMPTY]",0.10959797399999999,10.64086222,98.97002731795544
"[FEATUREOVERLOADED, FEATUREEMPTY, FEATUREEXECUTIVEFLOOR]",2.619327256000001,27.979878261000003,90.63853233539271
"[FEATUREEMPTY, FEATURETWOTHIRDSFULL, FEATUREEXECUTIVEFLOOR]",0.11211803099999998,25.540160772,99.56101282211614
"[FEATUREEMPTY, FEATUREEXECUTIVEFLOOR]",0.11248581899999999,25.571277551999998,99.56010872444187
"[FEATUREOVERLOADED, FEATUREWEIGHT, FEATURETWOTHIRDSFULL, FEATUREEXECUTIVEFLOOR]",23.204947748000002,37.804610266999994,38.61873569357803
"[FEATUREOVERLOADED]",2.6116653540000008,2.487865093,4.976164557649543
"[FEATUREWEIGHT]",20.669336485000006,20.642438893999998,0.130302388870465
"[FEATUREEMPTY, FEATUREWEIGHT, FEATUREEXECUTIVEFLOOR]",20.677031684000006,46.240196396,55.283425903033866
"[FEATUREOVERLOADED, FEATUREWEIGHT, FEATURETWOTHIRDSFULL]",23.200307816000002,23.063506323000002,0.5931513234983499
"[FEATUREEMPTY, FEATUREWEIGHT, FEATURETWOTHIRDSFULL]",20.698273733000004,31.220890773,33.70376942960261
"[FEATUREOVERLOADED, FEATUREEMPTY, FEATUREWEIGHT]",23.18098527600001,33.671438194000004,31.15534554110408
"[FEATUREOVERLOADED, FEATUREEMPTY, FEATURETWOTHIRDSFULL]",2.614319536000001,13.093055961,80.03277810934881
"[FEATUREOVERLOADED, FEATUREEMPTY, FEATUREWEIGHT, FEATUREEXECUTIVEFLOOR]",23.18387312100001,48.625684385,52.32175461544405
"[FEATUREOVERLOADED, FEATUREEMPTY, FEATUREWEIGHT, FEATURETWOTHIRDSFULL, FEATUREEXECUTIVEFLOOR]",23.209755102000006,48.879863553,52.516735082875435
"[FEATUREOVERLOADED, FEATURETWOTHIRDSFULL]",2.609545479000001,2.4759103180000004,5.397415246766639
"[FEATUREWEIGHT, FEATUREEXECUTIVEFLOOR]",20.672224330000006,35.594316146,41.9226815730716
"[FEATUREOVERLOADED, FEATUREEXECUTIVEFLOOR]",2.614553199000001,17.333153153999998,84.91588243771655
"[FEATURETWOTHIRDSFULL, FEATUREEXECUTIVEFLOOR]",0.10734397399999998,14.910196081,99.28006329751231
"[FEATURETWOTHIRDSFULL]",0.10270404199999998,2.4346499999999997E-4,42084.314788573305
"[FEATUREEXECUTIVEFLOOR]",0.10771176199999999,14.899934857,99.27709910792399
